cell_type,ticker,latent_dim,dropout_rate,noise_std,val_mse,epochs_run
LSTM,EC,8,0.1,0.01,3.5177502632141113,22
LSTM,EC,8,0.1,0.05,3.5949604511260986,17
LSTM,EC,8,0.1,0.1,3.6332857608795166,26
LSTM,EC,8,0.2,0.01,3.4975240230560303,42
LSTM,EC,8,0.2,0.05,3.5863358974456787,34
LSTM,EC,8,0.2,0.1,3.4002022743225098,25
LSTM,EC,8,0.3,0.01,3.453233480453491,29
LSTM,EC,8,0.3,0.05,3.457183837890625,43
LSTM,EC,8,0.3,0.1,3.444101572036743,23
LSTM,EC,16,0.1,0.01,3.3587441444396973,29
LSTM,EC,16,0.1,0.05,3.5655722618103027,19
LSTM,EC,16,0.1,0.1,3.5189571380615234,15
LSTM,EC,16,0.2,0.01,3.688551664352417,12
LSTM,EC,16,0.2,0.05,3.4656662940979004,23
LSTM,EC,16,0.2,0.1,3.4917044639587402,28
LSTM,EC,16,0.3,0.01,3.4474804401397705,25
LSTM,EC,16,0.3,0.05,3.6091573238372803,13
LSTM,EC,16,0.3,0.1,3.443463087081909,29
LSTM,EC,32,0.1,0.01,3.4270787239074707,23
LSTM,EC,32,0.1,0.05,3.624016046524048,18
LSTM,EC,32,0.1,0.1,3.4237825870513916,50
LSTM,EC,32,0.2,0.01,3.5835397243499756,20
LSTM,EC,32,0.2,0.05,3.4232804775238037,21
LSTM,EC,32,0.2,0.1,3.53480863571167,30
LSTM,EC,32,0.3,0.01,3.5323665142059326,22
LSTM,EC,32,0.3,0.05,3.6474609375,13
LSTM,EC,32,0.3,0.1,3.4422812461853027,28
GRU,EC,8,0.1,0.01,3.440028429031372,18
GRU,EC,8,0.1,0.05,3.4001410007476807,21
GRU,EC,8,0.1,0.1,3.256847858428955,44
GRU,EC,8,0.2,0.01,3.4666638374328613,18
GRU,EC,8,0.2,0.05,3.2225711345672607,28
GRU,EC,8,0.2,0.1,3.1779751777648926,24
GRU,EC,8,0.3,0.01,3.3347203731536865,39
GRU,EC,8,0.3,0.05,3.416922092437744,30
GRU,EC,8,0.3,0.1,3.355321168899536,46
GRU,EC,16,0.1,0.01,3.2271273136138916,37
GRU,EC,16,0.1,0.05,3.2401821613311768,21
GRU,EC,16,0.1,0.1,3.4030563831329346,27
GRU,EC,16,0.2,0.01,3.317225694656372,50
GRU,EC,16,0.2,0.05,3.20630145072937,50
GRU,EC,16,0.2,0.1,3.320683002471924,31
GRU,EC,16,0.3,0.01,3.3291923999786377,28
GRU,EC,16,0.3,0.05,3.394047975540161,17
GRU,EC,16,0.3,0.1,3.2343642711639404,37
GRU,EC,32,0.1,0.01,3.1947619915008545,29
GRU,EC,32,0.1,0.05,3.3205325603485107,41
GRU,EC,32,0.1,0.1,3.254603862762451,35
GRU,EC,32,0.2,0.01,3.3324711322784424,39
GRU,EC,32,0.2,0.05,3.2895538806915283,48
GRU,EC,32,0.2,0.1,3.3199265003204346,24
GRU,EC,32,0.3,0.01,3.3273682594299316,32
GRU,EC,32,0.3,0.05,3.2547876834869385,42
GRU,EC,32,0.3,0.1,3.2877986431121826,29
LSTM,CIB,8,0.1,0.01,8.438201904296875,28
LSTM,CIB,8,0.1,0.05,9.025345802307129,21
LSTM,CIB,8,0.1,0.1,8.599364280700684,33
LSTM,CIB,8,0.2,0.01,8.734943389892578,31
LSTM,CIB,8,0.2,0.05,9.106036186218262,12
LSTM,CIB,8,0.2,0.1,9.060713768005371,12
LSTM,CIB,8,0.3,0.01,9.043737411499023,19
LSTM,CIB,8,0.3,0.05,8.671380043029785,29
LSTM,CIB,8,0.3,0.1,8.85903263092041,15
LSTM,CIB,16,0.1,0.01,9.506570816040039,12
LSTM,CIB,16,0.1,0.05,9.025032997131348,12
LSTM,CIB,16,0.1,0.1,9.184290885925293,12
LSTM,CIB,16,0.2,0.01,9.123153686523438,35
LSTM,CIB,16,0.2,0.05,8.471323013305664,13
LSTM,CIB,16,0.2,0.1,8.709526062011719,50
LSTM,CIB,16,0.3,0.01,9.282742500305176,16
LSTM,CIB,16,0.3,0.05,8.766193389892578,14
LSTM,CIB,16,0.3,0.1,9.617112159729004,12
LSTM,CIB,32,0.1,0.01,8.78305435180664,15
LSTM,CIB,32,0.1,0.05,8.643697738647461,20
LSTM,CIB,32,0.1,0.1,8.742875099182129,26
LSTM,CIB,32,0.2,0.01,8.772054672241211,17
LSTM,CIB,32,0.2,0.05,8.906254768371582,23
LSTM,CIB,32,0.2,0.1,8.576394081115723,22
LSTM,CIB,32,0.3,0.01,9.062623977661133,19
LSTM,CIB,32,0.3,0.05,9.028999328613281,12
LSTM,CIB,32,0.3,0.1,9.162628173828125,12
GRU,CIB,8,0.1,0.01,8.461718559265137,21
GRU,CIB,8,0.1,0.05,8.76323127746582,18
GRU,CIB,8,0.1,0.1,8.340165138244629,34
GRU,CIB,8,0.2,0.01,8.34821605682373,27
GRU,CIB,8,0.2,0.05,8.333922386169434,26
GRU,CIB,8,0.2,0.1,8.5227632522583,35
GRU,CIB,8,0.3,0.01,8.6373291015625,16
GRU,CIB,8,0.3,0.05,8.491537094116211,32
GRU,CIB,8,0.3,0.1,8.576294898986816,29
GRU,CIB,16,0.1,0.01,8.32439136505127,40
GRU,CIB,16,0.1,0.05,8.784857749938965,21
GRU,CIB,16,0.1,0.1,8.444311141967773,38
GRU,CIB,16,0.2,0.01,8.569106101989746,37
GRU,CIB,16,0.2,0.05,8.912996292114258,20
GRU,CIB,16,0.2,0.1,8.441790580749512,24
GRU,CIB,16,0.3,0.01,8.241127967834473,16
GRU,CIB,16,0.3,0.05,8.190644264221191,23
GRU,CIB,16,0.3,0.1,8.687727928161621,30
GRU,CIB,32,0.1,0.01,8.477246284484863,50
GRU,CIB,32,0.1,0.05,9.32598876953125,14
GRU,CIB,32,0.1,0.1,9.208772659301758,12
GRU,CIB,32,0.2,0.01,8.312400817871094,34
GRU,CIB,32,0.2,0.05,9.047807693481445,16
GRU,CIB,32,0.2,0.1,8.17065715789795,36
GRU,CIB,32,0.3,0.01,8.476743698120117,39
GRU,CIB,32,0.3,0.05,8.801586151123047,15
GRU,CIB,32,0.3,0.1,8.286683082580566,27
LSTM,AVAL,8,0.1,0.01,5.681275844573975,26
LSTM,AVAL,8,0.1,0.05,5.449926853179932,36
LSTM,AVAL,8,0.1,0.1,5.447934627532959,21
LSTM,AVAL,8,0.2,0.01,5.657610893249512,22
LSTM,AVAL,8,0.2,0.05,5.333601951599121,40
LSTM,AVAL,8,0.2,0.1,5.7151336669921875,22
LSTM,AVAL,8,0.3,0.01,5.3123674392700195,32
LSTM,AVAL,8,0.3,0.05,5.389801025390625,38
LSTM,AVAL,8,0.3,0.1,5.462989330291748,38
LSTM,AVAL,16,0.1,0.01,5.2705888748168945,26
LSTM,AVAL,16,0.1,0.05,5.736146450042725,30
LSTM,AVAL,16,0.1,0.1,5.424005031585693,25
LSTM,AVAL,16,0.2,0.01,5.368014335632324,21
LSTM,AVAL,16,0.2,0.05,5.388364315032959,22
LSTM,AVAL,16,0.2,0.1,5.690223217010498,16
LSTM,AVAL,16,0.3,0.01,5.392455577850342,35
LSTM,AVAL,16,0.3,0.05,5.636382102966309,15
LSTM,AVAL,16,0.3,0.1,5.457035541534424,30
LSTM,AVAL,32,0.1,0.01,5.5374860763549805,26
LSTM,AVAL,32,0.1,0.05,5.7120041847229,24
LSTM,AVAL,32,0.1,0.1,5.321259021759033,24
LSTM,AVAL,32,0.2,0.01,6.043402194976807,16
LSTM,AVAL,32,0.2,0.05,5.504336357116699,26
LSTM,AVAL,32,0.2,0.1,5.4022932052612305,26
LSTM,AVAL,32,0.3,0.01,5.481727123260498,26
LSTM,AVAL,32,0.3,0.05,5.5877366065979,22
LSTM,AVAL,32,0.3,0.1,5.516222953796387,39
GRU,AVAL,8,0.1,0.01,5.233222484588623,20
GRU,AVAL,8,0.1,0.05,4.9890642166137695,38
GRU,AVAL,8,0.1,0.1,5.248404502868652,40
GRU,AVAL,8,0.2,0.01,5.3592023849487305,24
GRU,AVAL,8,0.2,0.05,5.160862922668457,17
GRU,AVAL,8,0.2,0.1,5.386768817901611,20
GRU,AVAL,8,0.3,0.01,5.522518634796143,36
GRU,AVAL,8,0.3,0.05,5.131695747375488,43
GRU,AVAL,8,0.3,0.1,5.615542888641357,21
